ID,Airline_IATA2,StartingAirport_IATA3,DestinationAirport_IATA3,Equipment
1,2B,AER,KZN,CR2
2,2B,ASF,KZN,CR2
3,2B,ASF,MRV,CR2
4,2B,CEK,KZN,CR2
5,2B,CEK,OVB,CR2
6,2B,DME,KZN,CR2
7,2B,DME,NBC,CR2
8,2B,DME,TGK,CR2
9,2B,DME,UUA,CR2
10,2B,EGO,KGD,CR2
11,2B,EGO,KZN,CR2
12,2B,GYD,NBC,CR2
13,2B,KGD,EGO,CR2
14,2B,KZN,AER,CR2
15,2B,KZN,ASF,CR2
16,2B,KZN,CEK,CR2
17,2B,KZN,DME,CR2
18,2B,KZN,EGO,CR2
19,2B,KZN,LED,CR2
20,2B,KZN,SVX,CR2
21,2B,LED,KZN,CR2
22,2B,LED,NBC,CR2
23,2B,LED,UUA,CR2
24,2B,MRV,ASF,CR2
25,2B,NBC,DME,CR2
26,2B,NBC,GYD,CR2
27,2B,NBC,LED,CR2
28,2B,NBC,SVX,CR2
29,2B,NJC,SVX,CR2
30,2B,NJC,UUA,CR2
31,2B,NUX,SVX,CR2
32,2B,OVB,CEK,CR2
33,2B,OVB,SVX,CR2
34,2B,SVX,KZN,CR2
35,2B,SVX,NBC,CR2
36,2B,SVX,NJC,CR2
37,2B,SVX,NUX,CR2
38,2B,SVX,OVB,CR2
39,2B,TGK,DME,CR2
40,2B,UUA,DME,CR2
41,2B,UUA,LED,CR2
42,2B,UUA,NJC,CR2
43,2G,BTK,IKT,A81
44,2G,BTK,OVB,A81
45,2G,CEK,OVB,A81
46,2G,HTA,IKT,AN4
47,2G,IKT,BTK,A81
48,2G,IKT,HTA,AN4
49,2G,IKT,KCK,AN4
50,2G,IKT,ODO,AN4
51,2G,IKT,OVB,A81
52,2G,IKT,UKX,AN4
53,2G,IKT,ULK,AN4
54,2G,IKT,YKS,A81
55,2G,KCK,IKT,AN4
56,2G,MJZ,OVB,A81
57,2G,ODO,IKT,AN4
58,2G,OVB,BTK,A81
59,2G,OVB,CEK,A81
60,2G,OVB,IKT,A81
61,2G,UKX,IKT,AN4
62,2G,ULK,IKT,AN4
63,2G,YKS,IKT,A81
64,2I,AYP,LIM,142
65,2I,CUZ,LIM,142 141
66,2I,CUZ,PEM,142
67,2I,HUU,LIM,141
68,2I,IQT,PCL,143
69,2I,IQT,TPP,142
70,2I,LIM,AYP,142
71,2I,LIM,CUZ,142 141
72,2I,LIM,HUU,141
73,2I,LIM,PCL,143 146
74,2I,LIM,TPP,142 146
75,2I,PCL,IQT,143
76,2I,PCL,LIM,143 146
77,2I,PCL,TPP,146
78,2I,PEM,CUZ,142
79,2I,TPP,IQT,142
80,2I,TPP,LIM,142 146
81,2I,TPP,PCL,146
82,2J,ABJ,BOY,CRJ
83,2J,ABJ,OUA,E70 CRJ M87
84,2J,ACC,OUA,CRJ
85,2J,BKO,ABJ,M87
86,2J,BKO,DKR,M87
87,2J,BKO,OUA,CRJ
88,2J,BOY,ABJ,CRJ
89,2J,BOY,OUA,CRJ
90,2J,COO,LFW,M87
91,2J,COO,OUA,M87
92,2J,DKR,BKO,M87
93,2J,DKR,OUA,M87
94,2J,LFW,OUA,M87 CRJ
95,2J,NIM,OUA,CRJ
96,2J,OUA,ABJ,E70 CRJ M87
97,2J,OUA,ACC,CRJ
98,2J,OUA,BKO,M87 CRJ
99,2J,OUA,BOY,CRJ
100,2J,OUA,COO,M87
101,2J,OUA,DKR,M87
102,2J,OUA,LFW,CRJ
103,2J,OUA,NIM,CRJ
104,2K,BOG,GYE,319
105,2K,BOG,UIO,319 320
106,2K,CLO,GYE,319
107,2K,GYE,BOG,319
108,2K,GYE,CLO,319
109,2K,GYE,SCY,319 320
110,2K,GYE,UIO,320 319
111,2K,OCC,UIO,319
112,2K,SCY,GYE,319 320
113,2K,UIO,BOG,319 320
114,2K,UIO,GYE,319
115,2K,UIO,OCC,319
116,2L,BDS,ZRH,100
117,2L,BOD,ZRH,100
118,2L,BRS,ZRH,100
119,2L,GVA,LPA,319
120,2L,LCA,ZRH,319
121,2L,LPA,ZRH,319
122,2L,RMF,ZRH,319
123,2L,TFS,GVA,319
124,2L,ZRH,BDS,100
125,2L,ZRH,BOD,100
126,2L,ZRH,BRS,100
127,2L,ZRH,LCA,319
128,2L,ZRH,LPA,319
129,2L,ZRH,RMF,319
130,2N,AJR,LYC,ATP
131,2N,ARN,GEV,ATP
132,2N,ARN,HAD,SF3
133,2N,ARN,JKG,ATP SF3
134,2N,ARN,KRF,ATP
135,2N,ARN,KSD,SF3
136,2N,ARN,LYC,ATP
137,2N,ARN,MHQ,SF3
138,2N,ARN,OER,ATR
139,2N,ARN,POR,SF3
140,2N,ARN,TRF,SF3
141,2N,ARN,VBY,SF3 ATP
142,2N,ARN,VHM,SF3
143,2N,ARN,VXO,SF3
144,2N,GEV,ARN,ATP
145,2N,GEV,KRF,ATP
146,2N,HAD,ARN,SF3 ATP
147,2N,HAD,JKG,ATP SF3
148,2N,HAD,VXO,SF3
149,2N,HMV,VHM,SF3
150,2N,JKG,ARN,ATP SF3
151,2N,JKG,HAD,ATP SF3
152,2N,KOK,POR,SF3
153,2N,KRF,ARN,ATP
154,2N,KRF,GEV,ATP
155,2N,KSD,ARN,SF3
156,2N,LYC,AJR,ATP
157,2N,LYC,ARN,ATP
158,2N,MHQ,ARN,SF3
159,2N,MHQ,TKU,SF3
160,2N,OER,ARN,ATR
161,2N,OSL,VXO,SF3
162,2N,POR,ARN,SF3
163,2N,POR,KOK,SF3
164,2N,TKU,MHQ,SF3
165,2N,TRF,ARN,SF3
166,2N,VBY,ARN,SF3 ATP
167,2N,VHM,ARN,SF3
168,2N,VHM,HMV,SF3
169,2N,VXO,ARN,SF3
170,2N,VXO,OSL,SF3
171,2O,ADQ,AOS,BNI
172,2O,ADQ,KKB,BNI
173,2O,ADQ,KLN,BNI
174,2O,ADQ,KOZ,BNI
175,2O,ADQ,OLH,BNI
176,2O,AOS,KZB,BNI
177,2O,KKB,SYB,BNI
178,2O,KLN,KYK,BNI
179,2O,KOZ,ORI,BNI
180,2O,SYB,KPR,BNI
181,2P,BSO,MNL,DH4
182,2P,BXU,MNL,320
183,2P,CBO,MNL,320
184,2P,CGY,MNL,320
185,2P,CRM,MNL,DH4
186,2P,DGT,MNL,320
187,2P,DWC,MNL,330
188,2P,KLO,MNL,320
189,2P,LGP,MNL,320
190,2P,MNL,BSO,DH4
191,2P,MNL,BXU,320
192,2P,MNL,CBO,320
193,2P,MNL,CGY,320
194,2P,MNL,CRM,DH4
195,2P,MNL,DGT,320
196,2P,MNL,DWC,330
197,2P,MNL,KLO,320
198,2P,MNL,LGP,320
199,2P,MNL,MPH,DH3
200,2P,MNL,OZC,320
201,2P,MNL,PPS,320
202,2P,MNL,RXS,320
203,2P,MNL,SUG,DH4
204,2P,MNL,TUG,DH4
205,2P,MNL,ZAM,320
206,2P,MPH,MNL,DH3
207,2P,OZC,MNL,320
208,2P,PPS,MNL,320
209,2P,RXS,MNL,320
210,2P,SUG,MNL,DH4
211,2P,TUG,MNL,DH4
212,2P,ZAM,MNL,320
213,2Z,AUX,PMW,AT7
214,2Z,BRA,BSB,AT7
215,2Z,BRA,SSA,AT7
216,2Z,BSB,BRA,AT7
217,2Z,BSB,OPS,AT7
218,2Z,BSB,RAO,AT7
219,2Z,CAC,GRU,AT7
220,2Z,CGB,GYN,AT7
221,2Z,CGB,OPS,AT7
222,2Z,CGR,DOU,AT7
223,2Z,DOU,CGR,AT7
224,2Z,DOU,GRU,AT7
225,2Z,GIG,RAO,AT7
226,2Z,GRU,CAC,AT7
227,2Z,GRU,DOU,AT7
228,2Z,GRU,RAO,AT7
229,2Z,GRU,UBA,AT7
230,2Z,GRU,UDI,AT7
231,2Z,GRU,VDC,AT7
232,2Z,GYN,CGB,AT7
233,2Z,GYN,PMW,AT7
234,2Z,GYN,RAO,AT7
235,2Z,GYN,UDI,AT7
236,2Z,OPS,BSB,AT7
237,2Z,OPS,CGB,AT7
238,2Z,PLU,RAO,AT7
239,2Z,PMW,AUX,AT7
240,2Z,PMW,GYN,AT7
241,2Z,RAO,BSB,AT7
242,2Z,RAO,GIG,AT7
243,2Z,RAO,GRU,AT7
244,2Z,RAO,GYN,AT7
245,2Z,RAO,PLU,AT7
246,2Z,RAO,SJP,AT7
247,2Z,RAO,UDI,AT7
248,2Z,SJP,RAO,AT7
249,2Z,SSA,BRA,AT7
250,2Z,SSA,VDC,AT7
251,2Z,UBA,GRU,AT7
252,2Z,UBA,UDI,AT7
253,2Z,UDI,GRU,AT7
254,2Z,UDI,GYN,AT7
255,2Z,UDI,RAO,AT7
256,2Z,UDI,UBA,AT7
257,2Z,VDC,GRU,AT7
258,2Z,VDC,SSA,AT7
259,3E,BRL,ORD,CNC
260,3E,BRL,STL,CNC
261,3E,DEC,ORD,CNC
262,3E,DEC,STL,CNC
263,3E,JBR,STL,CNC
264,3E,ORD,BRL,CNC
265,3E,ORD,DEC,CNC
266,3E,STL,BRL,CNC
267,3E,STL,DEC,CNC
268,3E,STL,JBR,CNC
269,3F,CGA,HYL,DHP
270,3F,CGA,KTN,DHP
271,3F,HYL,CGA,DHP
272,3F,HYL,KTB,DHP
273,3F,HYL,KTN,DHP
274,3F,KTB,HYL,DHP
275,3F,KTB,KTN,DHP
276,3F,KTN,CGA,DHP
277,3F,KTN,HYL,DHP
278,3F,KTN,KTB,DHP
279,3F,KTN,MTM,DHP
280,3F,MTM,KTN,DHP
281,3G,ACC,DKR,319
282,3G,ACC,LOS,319
283,3G,ACC,ROB,319
284,3G,BCN,BJL,319
285,3G,BJL,BCN,319
286,3G,BJL,DKR,319
287,3G,BJL,FNA,319
288,3G,CKY,OXB,319
289,3G,DKR,ACC,319
290,3G,DKR,BJL,319
291,3G,DKR,DLA,319
292,3G,DKR,FNA,319
293,3G,DKR,LOS,319
294,3G,DKR,OXB,319
295,3G,DLA,DKR,319
296,3G,DLA,LOS,319
297,3G,FNA,BJL,319
298,3G,FNA,DKR,319
299,3G,FNA,LGW,319
300,3G,FNA,ROB,319
301,3G,LGW,FNA,319
302,3G,LOS,ACC,319
303,3G,LOS,DKR,319
304,3G,LOS,DLA,319
305,3G,LOS,ROB,319
306,3G,OXB,CKY,319
307,3G,OXB,DKR,319
308,3G,ROB,ACC,319
309,3G,ROB,FNA,319
310,3G,ROB,LOS,319
311,3H,AKV,YIK,DH8
312,3H,AKV,YPX,DH8
313,3H,XGR,YVP,DHT BET
314,3H,YGL,YGW,DHT
315,3H,YGL,YPX,73M
316,3H,YGL,YUL,73M
317,3H,YGW,YGL,DHT
318,3H,YGW,YPH,BET
319,3H,YGW,YSK,DH8
320,3H,YGW,YUD,DH8
321,3H,YGW,YUL,DH8
322,3H,YGW,YUY,DH8
323,3H,YIK,AKV,DH8
324,3H,YIK,YZG,DH8
325,3H,YKG,YPJ,DHT DH8
326,3H,YKG,YQC,DH8
327,3H,YKG,YVP,DH8 DHT
328,3H,YKL,YQB,DH8
329,3H,YKL,YVP,DH8 BET
330,3H,YKL,YWK,BET
331,3H,YKL,YZV,BET DH8
332,3H,YPH,YPX,DH8 BET
333,3H,YPH,YUD,DH8
334,3H,YPH,YVP,BET
335,3H,YPJ,YKG,DHT DH8
336,3H,YPJ,YTQ,DHT DH8
337,3H,YPJ,YVP,DHT
338,3H,YPX,AKV,DH8
339,3H,YPX,YGL,73M
340,3H,YPX,YPH,DH8
341,3H,YPX,YVP,BET
342,3H,YQB,YKL,DH8
343,3H,YQB,YUL,DH8
344,3H,YQC,YKG,DH8
345,3H,YQC,YWB,DH8
346,3H,YSK,YGW,DH8
347,3H,YSK,YUD,DH8
348,3H,YTQ,YPJ,DHT DH8
349,3H,YTQ,YVP,DHT DH8
350,3H,YUD,YGW,DH8
351,3H,YUD,YPH,DH8
352,3H,YUD,YSK,DH8
353,3H,YUL,YGL,73M
354,3H,YUL,YGW,DH8
355,3H,YUL,YQB,DH8
356,3H,YUL,YUY,DH8
357,3H,YUY,YGW,DH8
358,3H,YUY,YUL,DH8
359,3H,YVP,XGR,DHT BET
360,3H,YVP,YGW,BET
361,3H,YVP,YKG,DH8
362,3H,YVP,YKL,DH8 BET
363,3H,YVP,YPH,BET
364,3H,YVP,YPJ,DHT
365,3H,YVP,YPX,BET
366,3H,YVP,YTQ,DHT DH8
367,3H,YWB,YQC,DH8
368,3H,YWB,YZG,DH8
369,3H,YWK,YKL,BET
370,3H,YWK,YZV,BET
371,3H,YZG,YIK,DH8
372,3H,YZG,YWB,DH8
373,3H,YZV,YKL,BET DH8
374,3H,YZV,YWK,BET
375,3J,JIB,DXB,737
376,3J,JIB,JED,737
377,3J,JIB,MGQ,737
378,3J,MGQ,NBO,737
379,3J,NBO,MGQ,737
380,3K,BKK,SIN,320
381,3K,DRW,SIN,320
382,3K,HAK,SIN,320
383,3K,HGH,SIN,320
384,3K,HKG,SIN,320
385,3K,HKT,SIN,320
386,3K,KIX,MNL,320
387,3K,KIX,TPE,320
388,3K,KUL,SIN,320
389,3K,MNL,KIX,320
390,3K,MNL,SIN,320
391,3K,PEN,SIN,320
392,3K,PER,SIN,320
393,3K,PNH,SIN,320
394,3K,REP,SIN,320
395,3K,RGN,SIN,320
396,3K,SGN,SIN,320
397,3K,SIN,BKK,320
398,3K,SIN,DRW,320
399,3K,SIN,HAK,320
400,3K,SIN,HGH,320
401,3K,SIN,HKG,320
402,3K,SIN,HKT,320
403,3K,SIN,KUL,320
404,3K,SIN,MNL,320
405,3K,SIN,PEN,320
406,3K,SIN,PER,320
407,3K,SIN,PNH,320
408,3K,SIN,REP,320
409,3K,SIN,RGN,320
410,3K,SIN,SGN,320
411,3K,SIN,SWA,320
412,3K,SIN,TPE,320
413,3K,SWA,SIN,320
414,3K,TPE,KIX,320
415,3K,TPE,SIN,320
416,3L,ACH,EBA,DH3
417,3L,DRS,ZRH,DH3
418,3L,DUS,FDH,DH3
419,3L,EBA,ACH,DH3
420,3L,EBA,FDH,DH3
421,3L,EBA,MUC,DH3
422,3L,EBA,ZRH,DH3
423,3L,FDH,DUS,DH3
424,3L,FDH,EBA,DH3
425,3L,FDH,HAM,AT7
426,3L,FDH,OLB,AT7
427,3L,FDH,TXL,AT7
428,3L,FDH,ZAD,AT7
429,3L,FMM,NAP,AT7
430,3L,GRZ,ZRH,DH3
431,3L,HAM,FDH,AT7
432,3L,MUC,EBA,DH3
433,3L,NAP,FMM,AT7
434,3L,OLB,FDH,AT7
435,3L,SZG,ZRH,DH3
436,3L,TXL,FDH,AT7
437,3L,ZAD,FDH,AT7
438,3L,ZRH,DRS,DH3
439,3L,ZRH,EBA,DH3
440,3L,ZRH,GRZ,DH3
441,3L,ZRH,SZG,DH3
442,3M,ATL,LWB,SF3
443,3M,ATL,MCN,SF3
444,3M,ATL,MEI,SF3
445,3M,ATL,MSL,SF3
446,3M,ATL,PIB,SF3
447,3M,ATL,TUP,SF3
448,3M,BIM,FLL,SF3
449,3M,ELH,FLL,SF3
450,3M,ELH,PBI,SF3
451,3M,EYW,FLL,SF3
452,3M,EYW,RSW,SF3
453,3M,EYW,TPA,SF3
454,3M,FLL,BIM,SF3
455,3M,FLL,ELH,SF3
456,3M,FLL,EYW,SF3
457,3M,FLL,FPO,SF3
458,3M,FLL,GGT,SF3
459,3M,FLL,GHB,SF3
460,3M,FLL,MCO,SF3
461,3M,FLL,MHH,SF3
462,3M,FLL,TCB,SF3
463,3M,FLL,TPA,SF3
464,3M,FPO,FLL,SF3
465,3M,GGT,FLL,SF3
466,3M,GGT,GHB,SF3
467,3M,GHB,FLL,SF3
468,3M,GLH,TUP,SF3
469,3M,GNV,MCO,SF3
470,3M,GNV,TPA,SF3
471,3M,JAX,MHH,SF3
472,3M,JAX,TPA,SF3
473,3M,LWB,ATL,SF3
474,3M,MCN,ATL,SF3
475,3M,MCN,MCO,SF3
476,3M,MCO,FLL,SF3
477,3M,MCO,GNV,SF3
478,3M,MCO,MCN,SF3
479,3M,MCO,MHH,SF3
480,3M,MCO,PNS,SF3
481,3M,MCO,RSW,SF3
482,3M,MCO,TLH,SF3
483,3M,MEI,ATL,SF3
484,3M,MHH,FLL,SF3
485,3M,MHH,JAX,SF3
486,3M,MHH,MCO,SF3
487,3M,MHH,PBI,SF3
488,3M,MSL,ATL,SF3
489,3M,PBI,ELH,SF3
490,3M,PBI,MHH,SF3
491,3M,PBI,TPA,SF3
492,3M,PIB,ATL,SF3
493,3M,PNS,MCO,SF3
494,3M,PNS,TPA,SF3
495,3M,RSW,EYW,SF3
496,3M,RSW,MCO,SF3
497,3M,TCB,FLL,SF3
498,3M,TLH,MCO,SF3
499,3M,TLH,TPA,SF3
500,3M,TPA,EYW,SF3
501,3M,TPA,FLL,SF3
502,3M,TPA,GNV,SF3
503,3M,TPA,JAX,SF3
504,3M,TPA,PBI,SF3
505,3M,TPA,PNS,SF3
506,3M,TPA,TLH,SF3
507,3M,TUP,ATL,SF3
508,3M,TUP,GLH,SF3
509,3O,AMS,NDR,320
510,3O,AMS,TNG,320
511,3O,BCN,CMN,320
512,3O,BCN,NDR,320
513,3O,BCN,TNG,320
514,3O,BGY,CMN,320
515,3O,BLQ,CMN,320
516,3O,BRU,CMN,320
517,3O,BRU,NDR,320
518,3O,BRU,TNG,320
519,3O,CGN,NDR,320
520,3O,CMN,BCN,320
521,3O,CMN,BGY,320
522,3O,CMN,BLQ,320
523,3O,CMN,BRU,320
524,3O,CMN,CUF,320
525,3O,CMN,LGW,320
526,3O,CMN,LYS,320
527,3O,CMN,MPL,320
528,3O,CMN,SAW,320
529,3O,CMN,TLS,320
530,3O,CMN,TSF,320
531,3O,CUF,CMN,320
532,3O,FEZ,MPL,320
533,3O,LGW,CMN,320
534,3O,LGW,TNG,320
535,3O,LYS,CMN,320
536,3O,MPL,CMN,320
537,3O,MPL,FEZ,320
538,3O,MPL,NDR,320
539,3O,NDR,AMS,320
540,3O,NDR,BCN,320
541,3O,NDR,BRU,320
542,3O,NDR,CGN,320
543,3O,NDR,MPL,320
544,3O,NDR,PMI,320
545,3O,PMI,NDR,320
546,3O,SAW,CMN,320
547,3O,TLS,CMN,320
548,3O,TNG,AMS,320
549,3O,TNG,BCN,320
550,3O,TNG,BRU,320
551,3O,TNG,LGW,320
552,3O,TSF,CMN,320
553,3P,AUA,LSP,SH6
554,3P,AUA,MAR,SH6
555,3P,BON,CUR,SH6
556,3P,CUR,AUA,SH6
557,3P,LSP,AUA,SH6
558,3P,MAR,AUA,SH6
559,3R,ASF,DME,SU9
560,3R,ASF,LED,SU9
561,3R,BHK,DME,734
562,3R,DME,ASF,SU9
563,3R,DME,BHK,734
564,3R,DME,EGO,SU9
565,3R,DME,FEG,734
566,3R,DME,KSQ,734
567,3R,DME,NMA,734
568,3R,DME,NVI,734
569,3R,DME,SKD,734
570,3R,DME,TIV,SU9 73G
571,3R,EGO,DME,SU9
572,3R,FEG,DME,734
573,3R,KSQ,DME,734
574,3R,LED,ASF,SU9
575,3R,NMA,DME,734
576,3R,NVI,DME,734
577,3R,SKD,DME,734
578,3R,TIV,DME,SU9 73G
579,3S,ANU,PTP,AT5
580,3S,CAY,FDF,320
581,3S,CUR,SDQ,AT5
582,3S,DOM,PTP,AT5
583,3S,DOM,SXM,AT5
584,3S,FDF,CAY,320
585,3S,FDF,PTP,AT5 320
586,3S,FDF,SDQ,AT5
587,3S,FDF,SLU,AT5
588,3S,PTP,ANU,AT5
589,3S,PTP,DOM,AT5
590,3S,PTP,FDF,AT5 320
591,3S,PTP,SBH,DHT
592,3S,PTP,SDQ,AT5
593,3S,PTP,SFG,AT5
594,3S,PTP,SXM,AT5
595,3S,SBH,PTP,DHT
596,3S,SDQ,PTP,AT5
597,3S,SDQ,SXM,AT5
598,3S,SFG,PTP,AT5
599,3S,SLU,FDF,AT5
600,3S,SXM,DOM,AT5
601,3S,SXM,PTP,AT5
602,3S,SXM,SDQ,AT5
603,3U,BHY,XIY,321
604,3U,CAN,CKG,321 320
605,3U,CAN,CTU,321 320 330
606,3U,CAN,SPN,330
607,3U,CGO,CGQ,321
608,3U,CGO,CKG,321
609,3U,CGO,CTU,321
610,3U,CGO,HGH,320
611,3U,CGO,HRB,320
612,3U,CGO,KMG,320
613,3U,CGO,URC,320
614,3U,CGQ,CGO,321
615,3U,CGQ,NKG,320
616,3U,CGQ,TNA,321
617,3U,CGQ,TSN,320 319
618,3U,CKG,CAN,321 320
619,3U,CKG,CGO,321
620,3U,CKG,CSX,319 321
621,3U,CKG,CTU,330
622,3U,CKG,CZX,320
623,3U,CKG,DLC,320
624,3U,CKG,DYG,320
625,3U,CKG,HAK,319
626,3U,CKG,HGH,320 319
627,3U,CKG,HKT,321
628,3U,CKG,INC,321
629,3U,CKG,KHN,319
630,3U,CKG,KMG,319 320
631,3U,CKG,LHW,319 321
632,3U,CKG,LJG,319
633,3U,CKG,LXA,319
634,3U,CKG,NGB,319
635,3U,CKG,NKG,319
636,3U,CKG,NNG,319
637,3U,CKG,PEK,321 319 320
638,3U,CKG,PVG,320 319
639,3U,CKG,PZI,319
640,3U,CKG,SWA,319
641,3U,CKG,SYD,330
642,3U,CKG,SYX,320
643,3U,CKG,SZX,320
644,3U,CKG,TNA,321
645,3U,CKG,TSA,320
646,3U,CKG,TSN,319
647,3U,CKG,TYN,321
648,3U,CKG,URC,320
649,3U,CKG,WUH,319
650,3U,CKG,WUX,319
651,3U,CKG,XIY,319
652,3U,CKG,XNN,320
653,3U,CKG,YIH,319
654,3U,CKG,ZHA,319
655,3U,CSX,CKG,319 321
656,3U,CSX,CTU,320
657,3U,CSX,FOC,320
658,3U,CSX,KMG,320
659,3U,CSX,SHE,320
660,3U,CSX,WNZ,319
661,3U,CSX,XMN,321
662,3U,CTU,CAN,321 320 330
663,3U,CTU,CGO,321
664,3U,CTU,CKG,330
665,3U,CTU,CSX,320
666,3U,CTU,DCY,319
667,3U,CTU,DSN,319
668,3U,CTU,HAK,321
669,3U,CTU,HDG,319
670,3U,CTU,HET,320
671,3U,CTU,HFE,321
672,3U,CTU,HGH,320 319
673,3U,CTU,HKG,320
674,3U,CTU,HKT,321
675,3U,CTU,ICN,321
676,3U,CTU,INC,321
677,3U,CTU,JHG,319
678,3U,CTU,JIQ,320
679,3U,CTU,JZH,319
680,3U,CTU,KHN,321
681,3U,CTU,KMG,320
682,3U,CTU,KOW,320
683,3U,CTU,KWE,320
684,3U,CTU,LHW,319
685,3U,CTU,LJG,319
686,3U,CTU,LUM,319
687,3U,CTU,LXA,330 319
688,3U,CTU,LZY,319
689,3U,CTU,MEL,330
690,3U,CTU,NKG,319 320
691,3U,CTU,NNG,319 320
692,3U,CTU,PEK,330 321 320
693,3U,CTU,PVG,321 330
694,3U,CTU,PZI,319
695,3U,CTU,SHE,330
696,3U,CTU,SJW,320
697,3U,CTU,SYX,321
698,3U,CTU,SZX,320 321
699,3U,CTU,TAO,321
700,3U,CTU,TNA,321
701,3U,CTU,TSA,320
702,3U,CTU,TSN,321
703,3U,CTU,TYN,319
704,3U,CTU,URC,319 330
705,3U,CTU,WNZ,320
706,3U,CTU,WUH,319
707,3U,CTU,WUX,320
708,3U,CTU,WXN,319
709,3U,CTU,XIC,320
710,3U,CTU,XIY,320 319
711,3U,CTU,XMN,320
712,3U,CTU,XNN,320
713,3U,CTU,XUZ,320
714,3U,CTU,YIH,320
715,3U,CTU,YTY,319
716,3U,CZX,CKG,320
717,3U,CZX,HRB,321
718,3U,CZX,XMN,321
719,3U,CZX,ZUH,320
720,3U,DAT,TYN,319
721,3U,DCY,CTU,319
722,3U,DLC,CKG,320
723,3U,DLC,HGH,320
724,3U,DLC,HRB,320
725,3U,DLC,TNA,321
726,3U,DLC,XUZ,320
727,3U,DNH,LHW,319
728,3U,DSN,CTU,319
729,3U,DSN,SHE,319
730,3U,DYG,CKG,320
731,3U,DYG,NKG,319
732,3U,FOC,CSX,320
733,3U,FOC,XIY,319
734,3U,GXH,LXA,319
735,3U,GXH,XIY,319
736,3U,HAK,CKG,319
737,3U,HAK,CTU,321
738,3U,HAK,HGH,320
739,3U,HAK,NGB,321
740,3U,HAK,ZUH,320
741,3U,HDG,CTU,319
742,3U,HET,CTU,320
743,3U,HFE,CTU,321
744,3U,HGH,CGO,320
745,3U,HGH,CKG,320 319
746,3U,HGH,CTU,319 320
747,3U,HGH,DLC,320
748,3U,HGH,HAK,320
749,3U,HGH,KWE,320
750,3U,HGH,TSN,320
751,3U,HGH,TYN,320
752,3U,HKG,CTU,320
753,3U,HKG,YIH,320
754,3U,HKG,ZHA,319
755,3U,HKT,CKG,321
756,3U,HKT,CTU,321
757,3U,HRB,CGO,320
758,3U,HRB,CZX,321
759,3U,HRB,DLC,320
760,3U,HRB,INC,321
761,3U,HRB,NGB,321
762,3U,HRB,NKG,319
763,3U,HRB,NZH,321
764,3U,HRB,SJW,321
765,3U,HRB,TNA,320 321
766,3U,HRB,TSN,321
767,3U,HRB,WNZ,321
768,3U,HRB,WUH,321
769,3U,HRB,XIY,321
770,3U,HRB,XUZ,320 321
771,3U,ICN,CTU,321
772,3U,INC,CKG,321
773,3U,INC,CTU,321
774,3U,INC,HRB,321
775,3U,INC,KWL,320
776,3U,JGN,LHW,319
777,3U,JHG,CTU,319
778,3U,JHG,KMG,319
779,3U,JIQ,CTU,320
780,3U,JJN,KWE,320
781,3U,JJN,WUH,319
782,3U,JZH,CTU,319
783,3U,KHG,URC,319
784,3U,KHN,CKG,319
785,3U,KHN,CTU,321
786,3U,KHN,KMG,319
787,3U,KHN,NGB,321
788,3U,KMG,CGO,320
789,3U,KMG,CKG,319 320
790,3U,KMG,CSX,320
791,3U,KMG,CTU,320
792,3U,KMG,JHG,319
793,3U,KMG,KHN,319
794,3U,KMG,KWE,320
795,3U,KMG,LUM,319
796,3U,KMG,NGB,320
797,3U,KMG,NKG,320
798,3U,KMG,TAO,320
799,3U,KMG,TNA,320
800,3U,KMG,TPE,320
801,3U,KMG,WXN,320
802,3U,KMG,XIY,320
803,3U,KMG,XMN,320
804,3U,KMG,XUZ,320
805,3U,KOW,CTU,320
806,3U,KOW,XMN,320
807,3U,KWE,CTU,320
808,3U,KWE,HGH,320
809,3U,KWE,JJN,320
810,3U,KWE,KMG,320
811,3U,KWE,LHW,321
812,3U,KWE,SYX,321
813,3U,KWE,WNZ,320
814,3U,KWE,XUZ,321
815,3U,KWL,INC,320
816,3U,KWL,SJW,321
817,3U,KWL,SYX,320
818,3U,LHW,CKG,319 321
819,3U,LHW,CTU,319
820,3U,LHW,DNH,319
821,3U,LHW,JGN,319
822,3U,LHW,KWE,321
823,3U,LHW,TSN,321
824,3U,LJG,CKG,319
825,3U,LJG,CTU,319
826,3U,LJG,MIG,319
827,3U,LUM,CTU,319
828,3U,LUM,KMG,319
829,3U,LXA,CKG,319
830,3U,LXA,CTU,330 319
831,3U,LXA,GXH,319
832,3U,LXA,XIY,319
833,3U,LXA,XNN,319
834,3U,LYI,XIY,319 320
835,3U,LZY,CTU,319
836,3U,MEL,CTU,330
837,3U,MIG,LJG,319
838,3U,MIG,NKG,319
839,3U,MIG,SYX,320
840,3U,MIG,XNN,320
841,3U,NGB,CKG,319
842,3U,NGB,HAK,321
843,3U,NGB,HRB,321
844,3U,NGB,KHN,321
845,3U,NGB,KMG,320
846,3U,NGB,SHE,321
847,3U,NGB,SYX,321
848,3U,NKG,CGQ,320
849,3U,NKG,CKG,319
850,3U,NKG,CTU,319 320
851,3U,NKG,DYG,319
852,3U,NKG,HRB,319
853,3U,NKG,KMG,320
854,3U,NKG,MIG,319
855,3U,NKG,SYX,320
856,3U,NNG,CKG,319
857,3U,NNG,CTU,319 320
858,3U,NNG,SGN,320
859,3U,NNG,WUH,321
860,3U,NTG,WUH,319
