SpaceportId,SpaceportName,OnPlanetId,Latitude,Longitude
1,Xichang Satellite Launch Center,1,28.24646,102.02814
2,Satish Dhawan Space Centre (Sriharikota),1,13.73740,80.23510
3,Uchinoura Space Center,1,31.25186,131.07914
4,Tanegashima Space Center,1,30.39096,130.96813
5,Baikonur Cosmodrome,1,45.95515,63.35028
6,Cape Canaveral Air Force Station,1,28.46675,-80.55852
7,Vandenberg Air Force Base,1,34.77204,-120.60124
8,Kennedy Space Center,1,28.6082,-80.6040
9,Mid-Atlantic Regional Spaceport (MARS),1,37.833378,-75.483284
